{ latitude: "37.7451022", user_id: 4, name: "Ian Kehoe", longitude: "-122.238335" }
{ latitude: "37.5302756", user_id: 5, name: "Nora Dempsey", longitude: "-122.4097222" }
{ latitude: "37.3699599", user_id: 6, name: "Theresa Enright", longitude: "-122.3705202" }
{ latitude: "36.9894797", user_id: 8, name: "Eoin Ahearn", longitude: "-122.41671" }
{ latitude: "37.008769", user_id: 11, name: "Richard Finnegan", longitude: "-122.1056711" }
{ latitude: "36.986375", user_id: 12, name: "Christina McArdle", longitude: "-122.043701" }
{ latitude: "37.0", user_id: 13, name: "Olive Ahearn", longitude: "-122.0" }
{ latitude: "36.966", user_id: 15, name: "Michael Ahearn", longitude: "-122.463" }
{ latitude: "38.180238", user_id: 17, name: "Patricia Cahill", longitude: "-121.920898" }
{ latitude: "38.080556", user_id: 23, name: "Eoin Gallagher", longitude: "-122.361944" }
{ latitude: "38.133333", user_id: 24, name: "Rose Enright", longitude: "-122.433333" }
{ latitude: "37.538056", user_id: 26, name: "Stephen McArdle", longitude: "-123.053889" }
{ latitude: "37.74452", user_id: 29, name: "Oliver Ahearn", longitude: "-123.11167" }
{ latitude: "37.761389", user_id: 30, name: "Nick Enright", longitude: "-123.2875" }
{ latitude: "37.1489345", user_id: 31, name: "Alan Behan", longitude: "-122.8422408" }
{ latitude: "37.0033946", user_id: 39, name: "Lisa Ahearn", longitude: "-122.3877505" }
